Change_ID,Aircraft_Model,Company,Part_Number,Primary_Part,Assembly,Problem_Description,Source_of_Report,Material_Type,Original_Length,Original_Height,Original_Width,Changed_Length,Changed_Height,Changed_Width,Change_Type,Date_Reported,Impacted_Items,Impacted_Organizations,Severity_Score,Priority,,,,,,
CR-737-0001,Boeing 737-800,Boeing Commercial Airplanes,737-71-2824-001,Engine_1,Propulsion,Impact damage assessment reveals underlying structural concerns,Customer_Operations,Carbon Fiber Composite,218.54,90.85,43.63,217.62,89.93,42.71,Dimensional_Change,2024-11-23,Left_Wing_Box|Engine_1|Engine_Mount|Thrust_Reverser|Engine_Cowling|Propulsion,Manufacturing_Engineering|Customer_Operations|Systems_Engineering|Structural_Engineering|Quality_Assurance|Certification|Production_Control|Flight_Test,6.92,High,,,,,,
CR-737-0002,Boeing 737-800,Boeing Commercial Airplanes,737-57-4811-201,Left_Wing_Box,Wing,Thermal expansion mismatch causing joint stress concentration,Quality_Assurance,Magnesium AZ31B,477.82,105.22,39.96,476.82,104.22,38.96,Quality_Requirement_Change,2024-03-05,Wing|Left_Wing|Left_Wing_Box,Structural_Engineering|Configuration_Management|Quality_Assurance|Supplier_Management,1.96,Low,,,,,,
CR-737-0003,Boeing 737-800,Boeing Commercial Airplanes,737-99-1106-002,Left_Aileron,Wing,Impact damage assessment reveals underlying structural concerns,Design_Engineering,Inconel 718,379.4,173.82,25.85,378.66,173.08,25.11,Design_Modification,2023-12-11,Wing|Left_Aileron|Left_Wing|Left_Slat_System|Left_Flap_System,Materials_Engineering|Structural_Engineering|Certification|Quality_Assurance|Supplier_Management|Design_Engineering|Flight_Test,5.55,High,,,,,,
CR-737-0004,Boeing 737-800,Boeing Commercial Airplanes,737-57-5333-001,Wing,Wing,Impact damage assessment reveals underlying structural concerns,Flight_Test,Magnesium AZ31B,319.4,81.2,64.65,318.15,79.95,63.4,Fastener_Change,2023-03-22,Wing,Customer_Support|Structural_Engineering|Quality_Assurance|Field_Support|Configuration_Management|Flight_Test,1.12,Low,,,,,,
CR-737-0005,Boeing 737-800,Boeing Commercial Airplanes,737-38-2139-001,Left_Flap_System,Wing,Vibration-induced loosening of critical fastener connections,Supplier_Spirit_AeroSystems,Steel 4340,120.21,176.54,52.9,121.83,178.16,54.52,Design_Modification,2023-04-14,Wing|Left_Flap_System|Left_Wing_Box|Left_Wing|Left_Slat_System|Left_Aileron,Materials_Engineering|Structural_Engineering|Certification|Quality_Assurance|Supplier_Management|Field_Support|Supplier_Spirit_AeroSystems|Flight_Test,10.0,High,,,,,,
CR-737-0006,Boeing 737-800,Boeing Commercial Airplanes,737-57-4432-003,Wing,Wing,Impact damage assessment reveals underlying structural concerns,Field_Operations,Titanium Ti-6Al-4V,120.2,35.86,87.91,120.31,35.97,88.02,Design_Modification,2023-06-17,Wing,Materials_Engineering|Field_Operations|Structural_Engineering|Certification|Quality_Assurance|Supplier_Management|Production_Control|Flight_Test,0.17,High,,,,,,
CR-737-0007,Boeing 737-800,Boeing Commercial Airplanes,737-99-4598-003,Tail_Cone,Fuselage,Material property variation affecting load distribution characteristics,Quality_Assurance,Carbon Fiber Composite,76.14,159.82,12.89,77.21,160.89,13.96,Surface_Treatment_Change,2024-02-15,Tail_Cone|Fuselage|Aft_Fuselage,Manufacturing_Engineering|Structural_Engineering|Certification|Quality_Assurance,1.93,Low,,,,,,
CR-737-0008,Boeing 737-800,Boeing Commercial Airplanes,737-99-6155-002,Vertical_Stabilizer,Empennage,Vibration-induced loosening of critical fastener connections,Flight_Test,Aluminum 6061-T6,439.78,172.56,67.95,441.06,173.84,69.23,Assembly_Sequence_Change,2023-05-27,Empennage|Rudder|Vertical_Stabilizer,Structural_Engineering|Configuration_Management|Quality_Assurance|Flight_Test,2.89,Low,,,,,,
CR-737-0009,Boeing 737-800,Boeing Commercial Airplanes,737-53-5304-201,Cockpit_Frame,Fuselage,Stress concentration area showing signs of material degradation,Design_Engineering,Inconel 718,320.5,52.73,78.67,319.56,51.79,77.73,Process_Change,2024-06-05,Fuselage|Forward_Fuselage|Cockpit_Frame|Nose_Landing_Gear_Bay,Manufacturing_Engineering|Structural_Engineering|Quality_Assurance|Certification|Production_Control|Design_Engineering,3.75,Medium,,,,,,
CR-737-0010,Boeing 737-800,Boeing Commercial Airplanes,737-71-3621-101,Engine_1,Propulsion,Thermal expansion mismatch causing joint stress concentration,Field_Operations,Aluminum 6061-T6,368.63,97.46,78.35,368.24,97.07,77.96,Assembly_Sequence_Change,2024-06-25,Thrust_Reverser|Engine_1|Propulsion,Materials_Engineering|Systems_Engineering|Field_Operations|Customer_Support|Structural_Engineering|Quality_Assurance|Certification|Flight_Test,0.89,Low,,,,,,
